zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
kilung,glorify,,C1,glorify | one | may | mind | mouth,,,,"Ziri khut kilung zongin, buaipih ngeikeh.",,,,1,ROM
kilungdamsak,faith,,C2,faith | rejoice | low | degree | exalted,,,,san’ na uhah kilungdamsak thei ta uh hen.,,,,2,HEB
kilunggim,son,,B1,son | smoking | firebrands | fierce | anger,,,,"(5) A utleh kilunggim’bawl’ thei-in, a utleh kilungnop bawl’ thei hi.",,,,1,ISA
kilunggimsak,therefore,v,B1,therefore | remove | sorrow | heart | put,,,,Note kilunggimsak kei un la,,Attested 80× across 2 Bible books.,,1,ECC
kilunggulh,lust,,C1,lust | uncleanness | men | leaving | natural,,,,Zong kilunggulh kik nawnlo hi.,,,,2,ROM
kilunggulhna,lust,n,C2,lust | concupiscence | gentiles | themselves | over,,,bek,theilo dawibiate in kilunggulhna hang bek tawh,,Attested 215× across 4 Bible books.,,,
kilungkhamsak,joab,v,A2,joab | thou | david | messenger | thus,,,,"David in kamtaipa kiangah, “Joab kiangah hih bangin na gen",,Attested 185× across 2 Bible books.,,1,2SA
kilungkimlo,another,n,C2,another | any | forbearing | forgiving | man,,,,Note lakah khatlekhat a kilungkimlo na om uh ciangin khatlekhat,,Attested 85× across 2 Bible books.,,,
kilungkimpih,prig,n,C2,,,,,Zehsak thu ah local pawlpi’ sandan pen pen kilungkimpih uh hi.,,,,,
kilungnemsak,humiliation,,C1,humiliation | taken | judgment | away | declare,,,,,,,,1,ACT
kilungnuamsak,hold,v,A2,hold | brother | absalom | hath | amnon,,,,Tua ciangin a sanggampa Absalom in ama kiangah,,Attested 155× across 2 Bible books.,,1,2SA
kilungsim,anger,n,C2,anger | clamour | evil | speaking | put,,,,"Kimuhdahna, hehna, thangpaihna, kitotna, kikona, kilungsim neihna khempeuh beisak un la,","Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:",Attested 75× across 2 Bible books.,,,
kilungso,forsake,n,C2,forsake | wrath | fret | thyself | any,,,"tawmsak, siatna, lungduai, mai, khawl",Hehna panin kikham in la,,Attested 96× across 3 Bible books.,,,
kilungsosak,because,v,B1,because | fret | thyself | evildoers | neither,,,"manloin, gamta, ngaihsun",Migilote' hangin kilungsosak kei in la,,Attested 90× across 3 Bible books.,,1,PSA
kilungtuahna,accord agreement,,C2,accord agreement,,,,(4) Nupa kilungtuahna hoih mahmah hi.,,,Tongdot-DLH,,
kilungtuak,tempt,,C1,tempt | peter | how | agreed | together,,,,Nupa kilungtuak khuakhatin zolo hi.,,,"Tongdot-DLH, Tongdot-VZT",1,ACT
kilup,places,n,B1,places | thou | hast | lift | thine,,,,Khuadak in la mualsang dawnte en dih in. Hong kilup,,Attested 195× across 2 Bible books.,,1,JER
kilut,"make reconciliation with payment of money, materials or drinks",,C2,"make reconciliation with payment of money, materials or drinks",,,,Huapgi (perimeter) kilut khia hi.,,,Tongdot-VZT,,
kilutkham,to bet,,C2,to bet,,,,,,,Tongdot-VZT,,
kilutpih,gates,n,A2,gates | sabbath | should | charged | opened,"kongpite, kulhkongpite, kikhakna",,,Sabbath ni ding khuamial ciangin kongpite a kikhakna ding ka sawl,,Attested 240× across 2 Bible books.,,1,NEH
kilutsak,gate,v,B1,gate | king | came | even | before,,,inn,kimuhna mun ciangah pai hi.,,Attested 105× across 4 Bible books.,,1,EST
kiluukna,coition,n,C2,coition,,,"kilumlet, kilunggulhna piangsak, kiluahlo theihna, kilu, kilung nuam sak",,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
kim,about,n,A1,about | missing | midst | people | saith,,,"vekpi, ciat, lung, nei, omlo",khialhna nam kim na tang un.,Abstain from all appearance of evil.,Attested 4906× across 51 Bible books.,"Tongdot-DLH, Tongdot-VZT, Dongdot",37,GEN
kima,divorced,n,A1,divorced | morrow | widow | father | priest,"zidangte, zidang",,"zongin, thei, dang, pasal, mawh",ten'pih leh tua numei tawh,,Attested 215× across 10 Bible books.,,3,LEV
kimaai-ngat,front,,C2,front,,,,,,,Dongdot,,
kimaaingat,opposite,,C2,opposite,,,,,,,Tongdot-DLH,,
"kimaaingat
kimaai-tuah",vis-à-vis   ,,C2,vis-à-vis   ,,,,,,,Tongdot-DLH,,
kimaakna,israel,,B1,israel | saw | causes | whereby | backsliding,,,,,,,,1,JER
kimah,altar,,A1,altar | men | according | great | right,,,,Hih kimah hotel om hiam?,,,,4,EXO
kimai,brown,,A1,brown | look | between | see | faces,,,,Kimai-etna-ah na lel ding hi.,,,,4,GEN
kimaingapna,intimacy,v,C2,,,,,Tua in kimaingapna hongpia thei hi.,,,,,
kimaingat,another,n,A1,another | mercy | faces | cherubims | wings,"khate, zalin, vapi",,"tokhom, mai, lamah, khatlekhat, khate",Kherub-te in a khate uh tua tokhom tungah zalin,,Attested 285× across 2 Bible books.,zomidictionary.app,1,EXO
kimaisak,forgiven,v,A1,forgiven | missing | before | sins | palsy,,,"mawhna, khialhna, bawlsak, siampipa, kilemna","Numei kiangah, “Na mawhna kimaisak zo hi,” a ci hi.","And he said unto her,",Attested 2951× across 31 Bible books.,,15,LEV
kimaisakin,groves,n,B1,groves | warfare | mean | iniquity | hearts,,,mawhna,Dam takin Jerusalem mite hopih un. Amau' gimna hun beita,,Attested 305× across 4 Bible books.,,2,ISA
kimaisaklo,missing,n,C2,missing,,,"kimaisak, mawhna, thei, siangtho, mihing",Mihing Tapa a langpangte a mawhna uh kimaisak thei ding,,Attested 10× across 4 Bible books.,,,
kimaisakna,exalted,n,C1,exalted | through | missing | believeth | just,,,mawhna,"kimaisakna dingin biakpiakna dang om nawnlo a,",,Attested 95× across 4 Bible books.,,2,ACT
kimaisakte,missing,n,C2,missing,,,,Tua ahih ciangin nang kiangah kong genin-ah,,Attested 5× across 2 Bible books.,,,
kimaitaisak,leave,v,B1,leave | forget | complaint | off | heaviness,,,,"Ka dahnate kimangngilh bawlin, kimaitaisak ning ci ta leng zong,","If I say, I will forget my complaint, I will leave off my heaviness, and comfort myself:",Attested 65× across 2 Bible books.,,1,JOB
kimaituah,ward,n,A2,ward | belongeth | man | face | judah,"vilna, sinte",,,Shuppim leh Hosah-a' dingin lampi a paitohna,,Attested 95× across 2 Bible books.,,3,1CH
kimaituahin,over,n,A2,over | shemesh | one | judah | amaziah,,,"gal, paito, kido, israel, sung",Ahih hangin Amaziah in a thu ngailo hi. Tua ahih,,Attested 270× across 6 Bible books.,,2,1KI
kimaizumsak,time,v,B1,time | ashamed | evil | days | famine,,,"siatna, hun, lo, kial, nei",siatna hun ciangin amaute kimaizumsak lo,,Attested 60× across 3 Bible books.,,1,PSA
kimakai,manner,n,A2,manner | out | god | deliver | hand,,,,khatlekhat kilemin pawlkhat na hihna uh na kipsak tawntung un.,,Attested 260× across 4 Bible books.,,1,2CH
kimakna,thus,n,B1,thus | saith,,,khialhna,"“Moses in kimakna lai gelhsakin masak thei hi,” ci-in",,Attested 235× across 6 Bible books.,,1,ISA
kimamsak,cannot,v,B1,cannot | crooked | made | straight | wanting,"kileizo, kawisate, khaksak",,,"A kawisate kimamsak theilo a, a omlopi a omin kiseh theilo hi.",That which is crooked cannot be made straight: and that which is wanting cannot be numbered.,Attested 60× across 2 Bible books.,,1,ECC
kiman,saith,n,A1,saith | captivity | work | together | house,"kila, kilakhia, awk",,"khin, kithat, salin, laitakin, khuapi",A kumpipa uh leh a uliante salin kiman ding hi.,"And their king shall go into captivity, he and his princes together, saith the",Attested 2837× across 30 Bible books.,Tongdot-DLH,25,GEN
kiman'lohna,mirth,n,C2,mirth | what | doeth | laughter | mad,,,,"Nuihna pen haina ahihna, nopna pen bangmahin a kiman'lohna ka mukhia hi.","I said of laughter, It is mad: and of mirth, What doeth it?",Attested 40× across 2 Bible books.,,,
kiman'na,vanity,n,C2,vanity | work | vain | saith | nor,"mawknapi, siampa",,"omlo, neilo, bangmah, note, thukham",Nidangin nang-a' dingin amah a kiman'na bangmah omlo,,Attested 2720× across 40 Bible books.,,,
kimancip,thyself,n,B1,thyself | shake | dust | arise | sit,,,,A kimancip Jerusalem mite aw,,Attested 105× across 2 Bible books.,,1,ISA
kimang,useful,a,A1,saith | vain | any | profit | brass,"khatvei, sinsak, pausak",kam,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem","Thuman genna kip tawntung a, thuzuau genna tomno sung bek kimang hi.",The lip of truth shall be established for ever: but a lying tongue is but for a moment.,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,GEN
kimangin,whether,n,C2,whether | there | prophecies | fail | tongues,"siamnate, thutheih, kitelna",,,thutheih siamna a om hangin maimang ding hi.,,Attested 130× across 2 Bible books.,,,
kimanglo,invalid,a,C2,god | vain | works | things | living,,,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem",a melhoih khat hi lel hi.,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
kimangngailh,hid,,B1,hid | because | truth | himself | earth,,,,Bang hangin mumu napi kimangngailh ahiam ihcih leuleu ciangin,,,,1,ISA
kimangngilh,egypt,n,A1,egypt | complaint | expectation | name | forgotten,,,"kum, sung, sungah, hang, cih","Mihoihte kiphawkphawk a, migilote kimangngilh pah hi.",The memory of the just is blessed: but the name of the wicked shall rot.,Attested 817× across 15 Bible books.,,8,GEN
kimangngilhkha,continual,v,C2,continual | employment | passing | through | land,,,,Kha sagih a cin' khit ciangin,,Attested 150× across 2 Bible books.,,,
kimangpah,after,v,C2,after | order | should | rise | melchisedec,,,,Aaron gui zui-in siampi omsa a kimangpah ding ahi hi.,,Attested 160× across 2 Bible books.,,,
kimangthangsak,destroyed,,C1,destroyed | soul | hear | prophet | among,,,,"ngai lo khempeuhte in amau pawl lak pan kimangthangsak ding hi,’",,,,1,ACT
kimangthei,handy,a,C2,,,,,Thu maanlo pen sawtpi kikhomlo thei ahih manin sawtpi,,,,,
kimangzaw,friend,n,C2,friend | better | neighbour | near | brother,,,,Na lawmte daangkoih kei in la,,Attested 115× across 2 Bible books.,,,
kimanin,captives,n,A2,captives | forfeited | mouth | surely | led,,,"kipaipih, zongin, note, thongah, mai",Na kampauna hangin nang hong kimanin,,Attested 990× across 16 Bible books.,,5,1KI
kimanlo,kept,n,C2,kept | close | defiled | there | witness,,,,pasal khat in tuanu luppihin,,Attested 120× across 2 Bible books.,,,
kimanna,vanity,n,B1,vanity | alone | days | loathe | would,,,,Kimanna nei lo uh hi.,,,Tongdot-DLH,1,JOB
kimansa,fain,,C2,fain,,,,"Kimansa uh hi, ci uh hi.",,,Dongdot,,
kimansiang,foundation,n,A2,foundation | prepared | day | house | work,,,,Tua bangin { Topa' } biakinnpi,,Attested 50× across 2 Bible books.,,1,2CH
kimante,went,n,A1,went | slain | lord | amen | between,,,"salin, gen, khua, suahtakna, gimna",Ka thaltangte si ka tawksak ding ding,,Attested 160× across 8 Bible books.,,4,NUM
kimanzo,suffice,v,C2,suffice | fish | sea | gathered | together,kigozo,,,Amaute' khamzah dingin tuuhonte leh bawnghonte amau-a' dingin kigozo ding,,Attested 75× across 2 Bible books.,,,
kimap,jeremiah,n,C2,jeremiah | zedekiah | thus | saith | beseech,,,nuntakna,na nuntakna hong kimap ding hi.,,Attested 70× across 2 Bible books.,,,
kimasa,divorced,n,A1,divorced | widow | take | woman | profane,"meigong, meigongte, meigongin",,"nungak, meigong, numei",amah in ama mite lak panin nungak khat zi-in la ding hi.,,Attested 210× across 4 Bible books.,,2,LEV
kimat,abut,v,A1,above | thereof | ring | because | taken,kikak,,"kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem, kimawlna",Na biang tuakah a kaisuk na samphekte ngaihbaang,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,EXO
kimatcip,until,n,A2,until | seal | saith | sealed | hand,,,,A nungzang sukah a lipte lum bangin kithuapsuk cinten,,Attested 185× across 4 Bible books.,,3,2SA
kimatheih,make,n,A2,make | thou | joab | let | thing,,,,"David in kamtaipa kiangah, “Joab kiangah hih bangin na gen",,Attested 190× across 2 Bible books.,,1,2SA
kimatin,entries,n,B1,entries | cubits | between | joint | every,"laitaite, kongkhuamte",,"hal, inndei, puanung, biakinn, kawm",Tua ciangin amah in biakinn kawm puanung teh,,Attested 340× across 2 Bible books.,,2,EZK
kimatkhawm,join,v,C2,,,,,,,,,,
kimatna,connection,n,A1,brother | tidings | heard | image | taken,"zak, zaksa, tauna",,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem","Johan’ kimatna thu Zeisu in a zak ciangin, Galile gamah pai a,","Now when Jesus had heard that John was cast into prison, he departed into Galilee;",Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,GEN
kimatsak,connect,v,A1,tabernacle | tent | curtains | couple | turned,"kilhnate, kilhna",,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem",Tuate bup khat a suah theihna ding,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,EXO
kimatsakin,firebrand,n,A2,firebrand | tail | firebrands | turned | put,ngia,,,Tua ciangin Samson pai-in ngia za thum manin meilah zong,,Attested 120× across 2 Bible books.,,1,JDG
kimattuahna,adhesion,n,C2,adhesion,,,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimansa a om, kimawl kawm a nasem, kimawlna",Mite in tua thu za uh,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
kimattuahsak,co-ordinate,v,C2,co-ordinate,,,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem",{ Topa } muang in la,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,
kimawk,found,n,B1,found | until | iniquity | hateful | flattereth,,,,Nangma tungah siatna bangmah a hong bawllo,,Attested 50× across 4 Bible books.,,1,PSA
kimawkphat,until,n,C2,until | iniquity | found | hateful | flattereth,,,"muhdahna, hang, lo, thuaklo, cih",Bang hang hiam cih leh ama mawhna kidawkkhia lo,,Attested 72× across 3 Bible books.,,,
kimawksai,taken,n,B2,taken | snare | earth | one | take,,,,Thang antah omlopi-in leilaka thangah vasa mawk awk ahi hiam?,,Attested 95× across 2 Bible books.,,1,AMO
kimawktot,harm,,B1,harm | cause | done | strive | man,,,,Nang tungah bangmah siatna a hong bawl lo,,,,1,PRO
kimawl,play,v,A2,call | there | arise | children | play,samson,,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem","Tuuno bangin a naupangte uh tai khia-in kimawl uh a,","They send forth their little ones like a flock, and their children dance.",Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Tongdot-VZT, zomidictionary.app",,JDG
kimawlin,girls,n,B2,girls | streets | full | boys | playing,,,,Kongzing khempeuhah numei naupang kimawlin phezaizai ding uh hi.,And the streets of the city shall be full of boys and girls playing in the streets thereof.,Attested 75× across 2 Bible books.,,1,ZEC
kimawlkhial,misplay,v,C2,misplay,,,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem",,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
kimawlmi,player,n,C2,player,,,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem",na theih uh omnai ahi hiam?,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
kimawlna,basket ball,n,C2,strive | man | every | keep | masteries,taai,,"kimat, kimawlna laithaikap tunga alang khat bek a ciamtehna om pen, kimattuahna, kimansa a om, kimawl kawm a nasem",tawlkhat khit ciangin hong po-in hong khangto,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
kimawlsak,men,v,C2,men | joab | arise | women | there,,,,Tua ciangin Abner in Joab kiangah,,Attested 235× across 4 Bible books.,,,
kimawlte,missing,n,C2,missing,,,"mihon, naupang, honkhat, lawmte, omna",kimawlte tawh kibang uh hi. Naupang honkhat in,,Attested 15× across 4 Bible books.,,,
kimciang,altar,n,C2,altar | middle | bar | midst | under,,,"zawl, mong, paisuak, laita, nuai",banto pen mong khat pan mong khat paisuak ding hi.,,Attested 375× across 4 Bible books.,,,
kimeekcip,moth,,B1,moth | foundation | dust | crushed | before,,,,,,,,1,JOB
kimeekna,"massage, massage",,C2,massage | massage,,,,,,,"Tongdot-TKD, Dongdot",,
kimeeltheih,priest,,C1,priest | known | disciple | high | went,,,,Tom nidang sangin kimeeltheih nopzaw hi-in kilang hi.,,,Dongdot,1,JHN
kimeeltheihsak,kithe,,C2,kithe,,,,A zi dingnu tawh kimeeltheihsak ding a nial hi.,,,Dongdot,,
kimeetsa,shaven,,C2,shaven,,,,,,,Dongdot,,
kimeetsak,sheep,v,C2,sheep | slaughter | like | lamb | dumb,,,,Tua a sim Lai Siangtho mun pen,,Attested 110× across 2 Bible books.,,,
kimelteihna,acquitance,n,C2,,,,,,,,,,
kimeltheih,familiar,a,A2,allied | jerusalem | house | our | god,,,"kimeltheihna, kimeltheihlo, kimeel theihna",lawmta dinga a thuciamna uh zui lo uh hi.,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,NEH
kimeltheihlo,unfamiliar,a,C2,unfamiliar,,,"kimeltheih, kimeltheihna, kimeel theihna",Hih bangin thugentehna a zatna pen kamsang Isaiah in,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
kimeltheihna,intimacy,v,C2,intimacy,,,"kimeltheih, kimeltheihlo, kimeel theihna",{ Topa } tawh thuciamna khat bawl ding ka lungsimah om hi.,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,
kimeltheisak,to acquaint,,C2,to acquaint,,,,Amah in amau tanaute tawh mualsuahna ah hong kimeltheisak hi.,,,Tongdot-DLH,,
kimemat,doeth,n,C2,doeth | live | law | faith | man,,,,"Lai Siangtho in, “Thukham' deih bangin",,Attested 35× across 2 Bible books.,,,
kimematna,memorial,n,A2,memorial | nor | build | portion | right,,,,“Vantung Pasian in ka ma uh hong telhsak ding a,,Attested 105× across 2 Bible books.,,1,NEH
kimeng,nightmare,n,C2,,,,,“Zaanzan in hong kimeng hi.,,,,,
kimet,shaven,n,A2,shaven | hair | sheep | like | head,,,"tunga, kipan",samte khangkik dingin hong kipan hi.,,Attested 355× across 4 Bible books.,,2,JDG
kimetcip,everlasting,n,B2,everlasting | perpetual | hills | did | bow,tangtawng,,,Amah a khawl ciangin leitung ling,,Attested 105× across 2 Bible books.,,1,HAB
kimetmai,off,n,B1,off | over | medeba | heads | baldness,,,,khamul khempeuh zong kimetmai hi.,,Attested 125× across 2 Bible books.,,1,ISA
kimettol,beard,n,B1,beard | over | nebo | medeba | heads,,,,khamul khempeuh zong kimetmai hi.,,Attested 140× across 2 Bible books.,,1,ISA
kimettolsak,faces,v,B1,faces | horror | cover | shame | baldness,maitangte,,,Amaute in dahna limin puanhampi silh ding uh,,Attested 80× across 2 Bible books.,,1,EZK
kimilsak,to adjust,,C2,to adjust,,,,,,,Tongdot-DLH,,
kimin,according,n,A1,according | rode | every | king's | there,,,"pa, khuapi, israel, inn, tampi",Mi khempeuh' Pa ahi Pasian khat bek om,,Attested 880× across 18 Bible books.,,5,NUM
kimindaisak,report,v,C2,report | honour | dishonour | evil | good,kihuau,,,Kote hong kipahtawi-in hong kimindaisak zel,,Attested 70× across 2 Bible books.,,,
kiminsia,day,,B1,day | tongue | talk | righteousness | long,,,,Tom in amah le amah a kiminsia sak hi.,,,,1,PSA
kiminthan,zion,,B1,zion | missing | appoint | mourn | give,,,,"amaute pen a thuman mite kici-in, amah a kiminthan’sak theih nadingin",,,,2,ISA
kiminthan'sak,appoint,v,C2,appoint | mourn | zion | give | beauty,,,,amaute pen a thuman mite kici-in,,Attested 135× across 2 Bible books.,,,
kiminthan'sakna,art,n,C2,art | servant | israel | whom | thou,,,,"Amah in kei kiangah, “Nang pen keimah hong kiminthan'sakna ding",,Attested 50× across 2 Bible books.,,,
kiminthangsak,aaron,v,A1,aaron | jesus | out | therefore | gone,,,,Tua ciangin Moses in Aaron' kiangah,,Attested 25× across 4 Bible books.,,2,LEV
kimitsak,priest,,A1,priest | altar | place | burning | out,,ding,,Biakna tau tungah mei kikuangsak tawntung ding hi; kimitsak lo ding hi.,The fire shall ever be burning upon the altar; it shall never go out.,,,2,LEV
kimitsaklo,altar,n,C2,altar | burning | burn | fire | put,,,"biakna, mei, tau","Biakna tau tungah mei kikuangsak tawntung ding a, kimitsaklo ding hi.",The fire shall ever be burning upon the altar; it shall never go out.,Attested 190× across 2 Bible books.,,,
kimittawsak,cry,v,C2,cry | stay | yourselves | wonder | drunken,,,,khamtheihzu a ne lopi-in hoi un!,,Attested 85× across 2 Bible books.,,,
kimkhat,some,n,A1,some | others | half | there | pharisees,"lang, phelkhat",,"mai, sathau, biakna, tau, kikhopna","Tuate’ nungah Hoshaiah leh Judah uliante kimkhat,","And after them went Hoshaiah, and half of the princes of Judah,",Attested 3662× across 26 Bible books.,Tongdot-DLH,29,GEN
kimkhatte,missing,n,A1,missing | some | certain | took | oil,,,"taklam, sathau, omlai","Kimkhatte lei tam lohna suang lakah kia a,",[Missing],Attested 505× across 6 Bible books.,,15,LEV
kimkhattte,missing,,C1,missing,,,,,,,,1,LUK
kimkhen,bisect,v,C2,bisect,,,,A kha lina sungin Joab sanggampa Asahel hi,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,
kimkot,about,n,A1,about | court | thereof | round | heathen,"kimkotah, kiima, umcih",,"bawl, biakna, tau, pai, lam",Ama thu in a kimkot mun khempeuh ah a thang hi.,And the fame of him went out into every place of the country round about.,Attested 4735× across 32 Bible books.,,25,GEN
kimkota,until,v,A2,until | reed | length | place | cubits,"bem, kimkotin, umna",,"biakinn, inn, jerusalem, kawm, buktual",Biakbuk leh buktual kimkota ding khetphimte khempeuh sumngo ahi hi.,"And all the pins of the tabernacle, and of the court round about, were of brass.",Attested 1600× across 14 Bible books.,,2,1KI
kimkotah,round,n,A1,round | about | against | altar | people,"kimkot, kiima, umcih",,"bawl, biakna, tung, tau, khuapi",puantualpi mong kimkotah a gah bangin na bawl ding hi.,"A golden bell and a pomegranate, a golden bell and a pomegranate, upon the hem of the robe round about.",Attested 12637× across 53 Bible books.,,18,EXO
kimkotin,edom,n,A2,edom | against | there | about | round,"kimkota, bem, umna",,"pai, bawl, kawm, inn, tawi",biakna tau kimkotin pai un.,,Attested 681× across 7 Bible books.,,3,JDG
kimkotteng,fire,n,C2,fire | about | midst | great | cloud,,,mun,Biakinn kimkotteng a lei kitawito,,Attested 235× across 2 Bible books.,,,
kimlai,captain,n,A2,captain | ever | cut | crown | darkness,,,"thei, thutang, zongin, note, midik","ama kiang a nawkkha, amau’ nasep bek a phawk kimlai mite kiangah,",To call passengers who go right on their ways:,Attested 2535× across 33 Bible books.,,9,2KI
kimlaipi,pollution,n,B1,pollution | set | apart | discovered | fathers,,,,Pawlkhatte in a pa' zi mawhpih uh,,Attested 55× across 2 Bible books.,,1,EZK
kimlo,flesh,n,C2,flesh | another | seed | missing | neither,,,"bek, cih","“Na ta Isaac' suanlekhakte bek nangma suanlekhakin kisim ding hi,” ci hi.",,Attested 265× across 8 Bible books.,,,
kimna,equality,n,A2,pattern | king | ahaz | altar | damascus,,,,leh mi khempeuh tungah amau' pau ciatin laikhakte kigelh hi.,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,2KI
kimnai,away,n,A2,away | took | horses | kings | judah,,,"pai, khuate, jesuh",Ni a tum kuan ciangin nungzuite in Jesuh kiangah,,Attested 380× across 8 Bible books.,,1,2KI
kimono,(n.): Japan ngeina puan,n,C2,(n.): Japan ngeina puan,,,,Tom kimono a silh hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
kimpih,co-equal,n,C2,co-equal,,,,"“Note in kei, kua tawh hong kibang sakin hong kikim sak ding",,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
kimpipa,again,,B1,again | bring | place | jeconiah | son,,,,lian peen Davuih in Betlen khua pan,,,,1,JER
kimsak,pleaseth,v,A2,pleaseth | teeth | soul | pleasing | god,,,,Na ta thuhilhin tai lecin ama hangin na kipak ding,,Attested 115× across 2 Bible books.,,3,JDG
kimsakna,complement,n,C2,complement,,,,koteʼ deih kicinna na hi hi.,"Yea, in the way of thy judgments, O Lord , have we waited for thee; the desire of our soul is to thy name, and to the remembrance of thee.",Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
kimtakin,completely,adv,C2,already | perfect | follow | after | apprehend,,,"ngahtheihna, khrih, pia, hang",Ahi zongin ka utna tungkhin ing,,Adverb — place before verb or at sentence start.,zomidictionary.app,,
kimte,people,n,B1,people | give | saith | heard | decree,,,"minam, paunam, tuamtuamte, kumpi, bawl",Tua mah bangin minam kimte,,Attested 710× across 4 Bible books.,,4,PSA
kimu,found,n,A1,found | house | went | seen | days,"mulo, kimuh, muzo","nawn, ding, thei, ngei","sungah, pai, khua, cih, sung","“Sia aw, hih numei a khialh laitak kimu hi.","They say unto him, Master, this woman was taken in adultery, in the very act.",Attested 10424× across 79 Bible books.,,37,GEN
kimuan,confidence,,A2,confidence | whose | own | places | what,,,,Ei leh ei kimuan’na in haina hi,,,,5,2KI
kimuan'na,king,n,C2,king | whose | grace | what | confidence,,,"lungsim, eite",Ama kimuan'na maimom khau bang hi lel,,Attested 535× across 12 Bible books.,,,
kimuang,perky,adj,C2,ourselves | boldness | access | confidence | faith,"ngakkawmin, maleep",,"kimutuah a kiho thukikum, kimu theilo, kimu kawikawi, kimu thei, kimu pailet thei-a nip pian thawl khawnga bawl theih sungpaak nam khat",Amah tawh i kipawlna leh amah i muan'na hangin kimuang,,Adjective — place before noun or after verb as predicate.,zomidictionary.app,,
kimuanna,prospect,n,C2,,,,,Na mahni kimuanna khansak in.,,,,,
kimucian,patent,a,C2,,,,,,,,,,
kimudah,hated,n,B1,hated | hast | committed | evils | iniquities,,,,A lungtom mite hai gamtat,,Attested 215× across 4 Bible books.,Tongdot-VZT,4,PRO
kimudahin,missing,n,C2,missing,,,,Tua hun ciangin mi tampi in a upna uh khahsuah ding,,Attested 5× across 2 Bible books.,,,
kimudahsak,separateth,v,C2,separateth | chief | friends | froward | man,,,,mi gensiate in lawmta ki-it kimlai kimudahsak hi.,,Attested 55× across 2 Bible books.,,,
kimudahtawm,own,n,C2,own | lothe | evils | committed | abominations,,,"phawk, mahmah",Na gamtatnasa uh na gitlohnate uh leh na hoihlohnate uh,,Attested 330× across 2 Bible books.,,,
kimuh,thief,v,A1,thief | found | skin | cloud | children,"kimu, mulo, muzo",leh,"zongin, gen, pia, sungah, numei","Vantungah meii kong kaisak ciangin meii sungah sakhituihup a kimuh leh,","And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud:",Attested 3366× across 39 Bible books.,,16,GEN
kimuhdaan,perspective,adj,C2,perspective,,,,,,,"Dongdot, zomidictionary.app",,
kimuhdah,friends,,B1,friends | whisperer | separateth | chief | froward,,,,Mihoih lote in kitotna piang sak,,,,1,PRO
